*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 2017 023    74     0     1     3.2  150.6  148.9    1.7    4.30    8.24   10.61    8.07    5.97    5.90    5.73    5.66    1.10    0.42    0.08    0.03    0.01    0.01    0.01    0.01    9.73   96.07    0.36    8.69    0.00    1.04    0.00
 2017 024    75     0     1     3.2  150.6  148.9    1.7    4.53    8.19   10.53    8.15    5.96    5.89    5.73    5.66    1.10    0.42    0.08    0.03    0.01    0.01    0.01    0.01    9.86   96.10    0.36    8.80    0.00    1.06    0.00
 2017 025    76     0     1     3.2  150.6  148.9    1.7    4.66    8.13   10.42    8.29    5.96    5.89    5.73    5.65    1.11    0.42    0.08    0.03    0.01    0.01    0.01    0.01   10.01   96.13    0.36    8.92    0.00    1.09    0.00
 2017 026    77     0     1     3.2  150.7  149.0    1.7    4.67    8.16   10.35    8.36    5.95    5.89    5.73    5.65    1.11    0.42    0.08    0.03    0.01    0.01    0.01    0.01   10.17   96.16    0.36    9.05    0.00    1.12    0.00
 2017 027    78     0     1     3.2  150.7  149.0    1.7    4.76    8.12   10.30    8.44    5.95    5.88    5.72    5.65    1.12    0.42    0.08    0.03    0.01    0.01    0.00    0.01   10.30   96.19    0.36    9.16    0.00    1.14    0.00
 2017 028    79     0     1     3.2  150.7  149.0    1.7    4.86    8.06   10.19    8.43    6.09    5.88    5.72    5.65    1.12    0.42    0.08    0.03    0.01    0.01    0.00    0.01   10.43   96.21    0.36    9.26    0.00    1.17    0.00
 2017 029    80     0     1     3.2  150.7  149.0    1.7    4.90    8.00   10.10    8.43    6.21    5.88    5.72    5.65    1.12    0.42    0.08    0.03    0.01    0.01    0.00    0.01   10.54   96.24    0.36    9.35    0.00    1.19    0.00
 2017 030    81     0     1     3.2  150.8  149.1    1.7    4.94    7.95   10.01    8.43    6.33    5.88    5.72    5.65    1.13    0.42    0.08    0.03    0.01    0.01    0.00    0.01   10.63   96.26    0.36    9.42    0.00    1.21    0.00
 2017 031    82     0     1     3.2  150.8  149.1    1.7    4.99    7.91    9.93    8.42    6.45    5.88    5.72    5.65    1.13    0.42    0.08    0.03    0.01    0.01    0.00    0.01   10.71   96.28    0.36    9.49    0.00    1.22    0.00
 2017 032    83     0     1     3.2  150.8  149.1    1.7    5.03    7.86    9.85    8.42    6.55    5.88    5.72    5.65    1.12    0.42    0.08    0.03    0.01    0.01    0.00    0.00   10.79   96.30    0.36    9.55    0.00    1.24    0.00
 2017 033    84     0     1     3.2  150.8  149.1    1.7    5.15    7.82    9.77    8.41    6.62    5.89    5.72    5.65    1.12    0.41    0.08    0.03    0.01    0.01    0.00    0.00   10.86   96.32    0.36    9.61    0.00    1.25    0.00
 2017 034    85     0     1     3.2  150.8  149.1    1.7    5.31    7.78    9.69    8.40    6.62    5.93    5.72    5.64    1.12    0.41    0.08    0.02    0.01    0.01    0.00    0.00   10.94   96.35    0.36    9.67    0.00    1.27    0.00
 2017 035    86     0     1     3.2  150.8  149.2    1.7    5.40    7.75    9.63    8.40    6.63    5.97    5.71    5.64    1.12    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.03   96.37    0.36    9.74    0.00    1.29    0.00
 2017 036    87     0     1     3.2  150.8  149.2    1.7    5.45    7.72    9.57    8.39    6.63    5.97    5.74    5.65    1.11    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.11   96.39    0.36    9.81    0.00    1.30    0.00
 2017 037    88     0     1     3.4  150.7  149.0    1.6    5.52    7.69    9.51    8.39    6.63    5.97    5.73    5.65    1.11    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.19   96.42    0.36    9.87    0.00    1.32    0.00
 2017 038    89     0     1     3.4  150.7  149.1    1.6    5.59    7.67    9.48    8.43    6.63    5.97    5.73    5.65    1.10    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.27   96.44    0.36    9.94    0.00    1.33    0.00
 2017 039    90     0     1     3.4  150.7  149.1    1.6    4.05    7.69    9.93    8.50    6.63    5.96    5.73    5.64    1.10    0.40    0.08    0.02    0.01    0.01    0.00    0.00   11.35   96.47    0.36   10.00    0.00    1.35    0.00
 2017 040    91     0     1     3.4  150.7  149.1    1.6    4.30    7.64    9.87    8.54    6.63    5.96    5.73    5.64    1.10    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.42   96.48    0.36   10.05    0.00    1.36    0.00
 2017 041    92     0     1     3.5  150.6  149.0    1.6    4.52    7.58    9.76    8.51    6.63    5.97    5.73    5.65    1.10    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.51   96.50    0.36   10.12    0.00    1.38    0.00
 2017 042    93     0     1     3.8  150.4  148.7    1.6    4.56    7.52    9.68    8.50    6.64    5.97    5.73    5.65    1.11    0.41    0.08    0.02    0.01    0.01    0.00    0.00   11.60   96.52    0.36   10.19    0.00    1.40    0.00
 2017 043    94     0     1     3.8  150.4  148.7    1.6    4.61    7.49    9.64    8.55    6.64    5.97    5.73    5.64    1.11    0.41    0.07    0.02    0.01    0.01    0.00    0.00   11.69   96.54    0.36   10.27    0.00    1.42    0.00
 2017 044    95     0     1     4.0  150.2  148.5    1.6    4.78    7.44    9.55    8.53    6.64    5.97    5.73    5.64    1.11    0.41    0.07    0.02    0.01    0.01    0.00    0.00   11.79   96.56    0.36   10.35    0.00    1.44    0.00
 2017 045    96     0     1     4.0  150.2  148.6    1.6    5.05    7.41    9.50    8.55    6.64    5.96    5.72    5.64    1.11    0.41    0.07    0.02    0.01    0.01    0.00    0.00   11.89   96.59    0.36   10.43    0.00    1.47    0.00
 2017 046    97     0     1     4.1  150.2  148.5    1.6    5.30    7.37    9.41    8.53    6.64    5.97    5.73    5.64    1.10    0.41    0.07    0.02    0.01    0.01    0.00    0.00   12.00   96.61    0.36   10.51    0.00    1.49    0.00
 2017 047    98     0     1     4.2  150.1  148.4    1.6    5.57    7.34    9.33    8.50    6.64    5.97    5.73    5.64    1.10    0.41    0.07    0.02    0.01    0.01    0.00    0.00   12.13   96.64    0.36   10.61    0.00    1.51    0.00
 2017 048    99     0     1     4.3  150.0  148.4    1.6    5.85    7.31    9.26    8.47    6.65    5.97    5.72    5.64    1.09    0.41    0.07    0.02    0.01    0.01    0.00    0.00   12.29   96.68    0.36   10.74    0.00    1.55    0.00
 2017 049   100     0     1     4.3  150.0  148.4    1.6    6.00    7.29    9.22    8.50    6.65    5.97    5.72    5.64    1.09    0.41    0.07    0.02    0.01    0.01    0.00    0.00   12.46   96.72    0.36   10.88    0.00    1.58    0.00
 2017 050   101     0     1     4.3  150.0  148.4    1.6    6.29    7.27    9.16    8.47    6.65    5.97    5.72    5.64    1.08    0.41    0.07    0.02    0.01    0.01    0.00    0.00   12.61   96.76    0.36   11.00    0.00    1.61    0.00
 2017 051   102     0     1     4.3  150.1  148.5    1.6    6.68    7.25    9.09    8.45    6.65    5.97    5.72    5.64    1.07    0.41    0.07    0.02    0.01    0.01    0.00    0.00   12.81   96.80    0.36   11.16    0.00    1.65    0.00
 2017 052   103     0     1     4.3  150.1  148.6    1.5    7.13    7.24    9.02    8.42    6.65    5.98    5.72    5.64    1.01    0.41    0.07    0.02    0.01    0.01    0.00    0.00   13.05   96.89    0.36   11.36    0.00    1.69    0.00
 2017 053   104     0     1     4.3  150.2  148.7    1.5    7.59    7.24    8.97    8.42    6.64    5.97    5.72    5.63    0.94    0.41    0.07    0.02    0.01    0.01    0.00    0.00   13.35   97.00    0.36   11.61    0.00    1.75    0.00
 2017 054   105     0     1     4.3  150.2  148.7    1.5    8.03    7.23    8.91    8.40    6.66    5.96    5.71    5.63    0.94    0.41    0.07    0.02    0.01    0.01    0.00    0.00   13.75   97.07    0.36   11.93    0.00    1.82    0.00
 2017 055   106     0     1     4.3  150.3  148.8    1.5    8.48    7.23    8.84    8.37    6.66    5.96    5.70    5.62    0.93    0.41    0.07    0.02    0.01    0.01    0.00    0.00   14.24   97.17    0.39   12.34    0.00    1.91    0.00
 2017 056   107     0     1     4.3  150.4  149.0    1.4    8.27    7.60    8.80    8.37    6.65    5.96    5.70    5.62    0.83    0.41    0.07    0.02    0.01    0.01    0.00    0.00   14.76   97.33    0.41   12.76    0.00    2.00    0.00
